geração,radius,energia,pontos,velocidade,percepcao,distance,meanDistance
1,0.061845,24.170082,75.000000,0.750316,0.425441,0.000000,0.315929
1,0.058528,22.297335,67.000000,0.941155,0.501030,0.215517,0.315929
1,0.095107,10.909719,62.000000,0.932152,0.638367,0.463180,0.315929
1,0.074413,16.375448,61.000000,0.665436,0.673845,0.345560,0.315929
1,0.047638,15.537585,59.000000,0.685504,0.444231,0.157916,0.315929
1,0.065118,15.799378,51.000000,0.554273,0.418573,0.198942,0.315929
1,0.049752,20.049370,48.000000,0.597017,0.500188,0.216461,0.315929
1,0.041039,14.620426,42.000000,0.552816,0.730391,0.477077,0.315929
1,0.090410,14.679008,22.000000,0.731464,0.466275,0.290779,0.315929
1,0.062312,9.491257,13.000000,0.272439,0.421258,0.477928,0.315929
2,0.078412,25.703537,73.000000,0.840842,0.531697,0.000000,0.259652
2,0.061845,17.301655,59.000000,0.750316,0.425441,0.230825,0.259652
2,0.063554,21.909130,59.000000,0.651539,0.422600,0.276601,0.259652
2,0.076245,16.747845,59.000000,0.741872,0.446884,0.146642,0.259652
2,0.060277,10.663093,51.000000,0.845171,0.464014,0.200153,0.259652
2,0.054836,19.812981,48.000000,0.717371,0.434171,0.292723,0.259652
2,0.055791,14.041953,48.000000,0.672944,0.462457,0.294706,0.259652
2,0.068038,11.354297,39.000000,0.708344,0.550378,0.169890,0.259652
2,0.051528,16.301636,33.000000,0.652144,0.578068,0.333528,0.259652
2,0.062130,20.742647,31.000000,0.511009,0.423742,0.391802,0.259652
3,0.078412,25.287750,85.000000,0.840842,0.531697,0.000000,0.129485
3,0.070259,20.219378,60.000000,0.795654,0.478863,0.114240,0.129485
3,0.070990,16.640438,59.000000,0.746164,0.477115,0.138301,0.129485
3,0.066723,16.560116,53.000000,0.778795,0.482772,0.145780,0.129485
3,0.073193,18.263229,53.000000,0.775001,0.541717,0.084941,0.129485
3,0.067131,12.731989,47.000000,0.756783,0.496678,0.147332,0.129485
3,0.077351,13.877430,46.000000,0.791847,0.489647,0.072633,0.129485
3,0.069410,17.802792,41.000000,0.843449,0.497788,0.099530,0.129485
3,0.070162,11.273874,31.000000,0.676105,0.477640,0.196240,0.129485
3,0.064919,10.916941,25.000000,0.747471,0.553674,0.166365,0.129485
4,0.078412,24.812302,71.000000,0.840842,0.531697,0.000000,0.064276
4,0.074573,13.134739,67.000000,0.817446,0.503254,0.057317,0.064276
4,0.074852,19.306171,62.000000,0.791134,0.505542,0.069331,0.064276
4,0.072708,19.244631,55.000000,0.811829,0.508015,0.070505,0.064276
4,0.074081,16.961500,54.000000,0.844586,0.515728,0.047835,0.064276
4,0.076090,21.154758,51.000000,0.806420,0.538015,0.042263,0.064276
4,0.073053,19.309113,45.000000,0.800380,0.515194,0.070246,0.064276
4,0.077664,13.019144,37.000000,0.817009,0.508421,0.038345,0.064276
4,0.071533,15.420607,34.000000,0.791903,0.543917,0.085790,0.064276
4,0.074426,9.525919,24.000000,0.760344,0.502719,0.096853,0.064276
5,0.078412,23.842133,77.000000,0.840842,0.531697,0.000000,0.031977
5,0.076944,16.189991,65.000000,0.812542,0.516186,0.037313,0.031977
5,0.077333,12.051559,60.000000,0.825087,0.529860,0.019231,0.031977
5,0.076194,18.114616,58.000000,0.824567,0.519316,0.031561,0.031977
5,0.075495,18.162350,55.000000,0.823270,0.516003,0.039297,0.031977
5,0.076214,16.157761,52.000000,0.819867,0.523776,0.031952,0.031977
5,0.078057,16.017345,44.000000,0.824801,0.521195,0.021029,0.031977
5,0.076620,19.870239,41.000000,0.847733,0.525393,0.020746,0.031977
5,0.076846,8.333399,27.000000,0.797611,0.520038,0.048233,0.031977
5,0.075194,12.205168,21.000000,0.820301,0.535275,0.038433,0.031977
6,0.078737,19.781527,65.000000,0.831452,0.527913,0.000000,0.019457
6,0.078412,15.703537,58.000000,0.840842,0.531697,0.011006,0.019457
6,0.077612,13.869892,58.000000,0.828640,0.535194,0.014746,0.019457
6,0.077185,27.889370,56.000000,0.828970,0.521784,0.017490,0.019457
6,0.077358,15.797092,52.000000,0.837279,0.524458,0.015581,0.019457
6,0.076455,9.950750,49.000000,0.826672,0.516879,0.027089,0.019457
6,0.077209,17.767996,49.000000,0.840984,0.522827,0.019102,0.019457
6,0.077913,11.844882,44.000000,0.829538,0.523484,0.010111,0.019457
6,0.075867,15.961783,41.000000,0.828735,0.529968,0.028940,0.019457
6,0.076570,10.111785,28.000000,0.809459,0.530478,0.031044,0.019457
7,0.077152,13.422602,62.000000,0.838627,0.526122,0.000000,0.024052
7,0.078737,21.414484,61.000000,0.831452,0.527913,0.017541,0.024052
7,0.078818,19.277287,59.000000,0.852786,0.530043,0.022406,0.024052
7,0.079421,21.297756,54.000000,0.846344,0.531732,0.024973,0.024052
7,0.079271,19.365843,50.000000,0.836404,0.514415,0.025849,0.024052
7,0.079328,25.327799,48.000000,0.842122,0.523154,0.022347,0.024052
7,0.078192,13.584267,47.000000,0.806484,0.518915,0.034964,0.024052
7,0.079469,13.292175,45.000000,0.846961,0.517802,0.026730,0.024052
7,0.077892,17.556326,40.000000,0.812694,0.522873,0.027272,0.024052
7,0.076063,9.411422,34.000000,0.846442,0.530301,0.014386,0.024052
8,0.076811,18.168617,73.000000,0.844146,0.523820,0.000000,0.023094
8,0.077152,22.201729,65.000000,0.838627,0.526122,0.007099,0.023094
8,0.078521,11.985516,51.000000,0.854618,0.541271,0.029632,0.023094
8,0.077945,20.036432,51.000000,0.852318,0.508798,0.023410,0.023094
8,0.079346,14.090858,49.000000,0.838935,0.521358,0.026068,0.023094
8,0.079645,9.945301,48.000000,0.852808,0.524972,0.029669,0.023094
8,0.075592,22.140579,46.000000,0.854031,0.520069,0.016375,0.023094
8,0.077605,16.427689,45.000000,0.810926,0.526465,0.034315,0.023094
8,0.077621,14.127094,44.000000,0.844267,0.509126,0.020076,0.023094
8,0.077305,12.283012,28.000000,0.828787,0.512814,0.021204,0.023094
9,0.076811,14.989628,73.000000,0.844146,0.523820,0.000000,0.015469
9,0.076272,17.017868,73.000000,0.843136,0.524215,0.005500,0.015469
9,0.077098,23.010347,64.000000,0.839667,0.523856,0.005322,0.015469
9,0.078010,20.851568,58.000000,0.856624,0.527163,0.017806,0.015469
9,0.075564,11.211248,48.000000,0.819154,0.523888,0.027928,0.015469
9,0.075643,16.983124,43.000000,0.851557,0.519728,0.014748,0.015469
9,0.077836,12.877821,42.000000,0.853998,0.517656,0.016173,0.015469
9,0.077544,19.005611,36.000000,0.837915,0.511045,0.018644,0.015469
9,0.075568,19.025429,32.000000,0.845980,0.505681,0.025919,0.015469
9,0.076760,15.017994,31.000000,0.840434,0.528722,0.007181,0.015469
10,0.100000,19.250000,78.000000,1.000000,0.800000,0.000000,0.665079
10,0.100000,25.250000,71.000000,1.000000,0.400000,0.500000,0.665079
10,0.076811,19.400133,61.000000,0.844146,0.523820,0.444123,0.665079
10,0.100000,11.250000,54.000000,1.000000,0.400000,0.500000,0.665079
10,0.040000,24.099993,51.000000,1.000000,0.800000,0.600000,0.665079
10,0.040000,18.099993,48.000000,1.000000,0.400000,0.781025,0.665079
10,0.040000,12.099993,44.000000,1.000000,0.467769,0.729702,0.665079
10,0.040000,16.907194,40.000000,0.758395,0.400000,0.817541,0.665079
10,0.040000,12.099993,27.000000,1.000000,0.400000,0.781025,0.665079
