geração,radius,energia,pontos,velocidade,percepcao,distance,meanDistance
1,0.056000,26.096931,9.000000,0.480000,0.480000,0.000000,0.000000
1,0.056000,20.096931,6.000000,0.480000,0.480000,0.000000,0.000000
1,0.056000,20.096926,6.000000,0.480000,0.480000,0.000000,0.000000
1,0.056000,20.096928,6.000000,0.480000,0.480000,0.000000,0.000000
1,0.056000,20.096933,6.000000,0.480000,0.480000,0.000000,0.000000
1,0.056000,18.096935,5.000000,0.480000,0.480000,0.000000,0.000000
1,0.056000,18.096933,5.000000,0.480000,0.480000,0.000000,0.000000
1,0.056000,16.096924,4.000000,0.480000,0.480000,0.000000,0.000000
1,0.056000,12.096889,2.000000,0.480000,0.480000,0.000000,0.000000
1,0.056000,10.096889,1.000000,0.480000,0.480000,0.000000,0.000000
2,0.056000,21.161356,6.000000,0.480000,0.480000,0.000000,0.027757
2,0.056000,19.161348,5.000000,0.480000,0.480000,0.000000,0.027757
2,0.056000,19.161360,5.000000,0.480000,0.480000,0.000000,0.027757
2,0.056000,17.161341,4.000000,0.480000,0.480000,0.000000,0.027757
2,0.051312,17.292568,4.000000,0.460554,0.432363,0.078243,0.027757
2,0.056000,17.161352,4.000000,0.480000,0.480000,0.000000,0.027757
2,0.056000,17.161341,4.000000,0.480000,0.480000,0.000000,0.027757
2,0.056000,15.161341,3.000000,0.480000,0.480000,0.000000,0.027757
2,0.051142,15.299129,3.000000,0.459171,0.439221,0.073432,0.027757
2,0.056000,13.161341,2.000000,0.480000,0.480000,0.000000,0.027757
2,0.056000,13.161341,2.000000,0.480000,0.480000,0.000000,0.027757
2,0.050042,13.258936,2.000000,0.477316,0.437515,0.079861,0.027757
2,0.056580,13.260374,2.000000,0.448459,0.497846,0.039065,0.027757
2,0.050142,13.135653,2.000000,0.514978,0.483861,0.068399,0.027757
2,0.056000,11.161341,1.000000,0.480000,0.480000,0.000000,0.027757
2,0.059626,10.973936,1.000000,0.514530,0.472911,0.050849,0.027757
2,0.053093,9.194046,0.000000,0.483256,0.443433,0.054267,0.027757
3,0.056000,23.258118,7.000000,0.480000,0.480000,0.000000,0.025990
3,0.056000,21.258118,6.000000,0.480000,0.480000,0.000000,0.025990
3,0.056000,17.258121,4.000000,0.480000,0.480000,0.000000,0.025990
3,0.056000,17.258114,4.000000,0.480000,0.480000,0.000000,0.025990
3,0.056580,17.345711,4.000000,0.448459,0.497846,0.039065,0.025990
3,0.056000,15.258109,3.000000,0.480000,0.480000,0.000000,0.025990
3,0.056000,15.258109,3.000000,0.480000,0.480000,0.000000,0.025990
3,0.050142,15.235385,3.000000,0.514978,0.483861,0.068399,0.025990
3,0.056000,15.258109,3.000000,0.480000,0.480000,0.000000,0.025990
3,0.059626,15.092328,3.000000,0.514530,0.472911,0.050849,0.025990
3,0.056000,13.258109,2.000000,0.480000,0.480000,0.000000,0.025990
3,0.051312,13.374187,2.000000,0.460554,0.432363,0.078243,0.025990
3,0.056000,13.258109,2.000000,0.480000,0.480000,0.000000,0.025990
3,0.051142,13.379999,2.000000,0.459171,0.439221,0.073432,0.025990
3,0.050042,13.344443,2.000000,0.477316,0.437515,0.079861,0.025990
3,0.056000,9.258109,0.000000,0.480000,0.480000,0.000000,0.025990
4,0.056000,22.645269,7.000000,0.480000,0.480000,0.000000,0.027846
4,0.056000,22.645269,7.000000,0.480000,0.480000,0.000000,0.027846
4,0.056000,20.645269,6.000000,0.480000,0.480000,0.000000,0.027846
4,0.050142,20.603714,6.000000,0.514978,0.483861,0.068399,0.027846
4,0.056000,16.645269,4.000000,0.480000,0.480000,0.000000,0.027846
4,0.056580,16.805197,4.000000,0.448459,0.497846,0.039065,0.027846
4,0.056000,16.645266,4.000000,0.480000,0.480000,0.000000,0.027846
4,0.059626,16.342545,4.000000,0.514530,0.472911,0.050849,0.027846
4,0.051142,14.867825,3.000000,0.459171,0.439221,0.073432,0.027846
4,0.056000,12.645243,2.000000,0.480000,0.480000,0.000000,0.027846
4,0.056000,12.645243,2.000000,0.480000,0.480000,0.000000,0.027846
4,0.050042,10.802896,1.000000,0.477316,0.437515,0.079861,0.027846
4,0.056000,8.645243,0.000000,0.480000,0.480000,0.000000,0.027846
4,0.051312,8.857210,0.000000,0.460554,0.432363,0.078243,0.027846
4,0.056000,8.645243,0.000000,0.480000,0.480000,0.000000,0.027846
5,0.056580,21.866398,7.000000,0.448459,0.497846,0.000000,0.058417
5,0.056000,19.580853,6.000000,0.480000,0.480000,0.039065,0.058417
5,0.050142,19.506634,6.000000,0.514978,0.483861,0.094205,0.058417
5,0.056000,19.580841,6.000000,0.480000,0.480000,0.039065,0.058417
5,0.056000,17.580849,5.000000,0.480000,0.480000,0.039065,0.058417
5,0.056000,17.580851,5.000000,0.480000,0.480000,0.039065,0.058417
5,0.056000,15.580832,4.000000,0.480000,0.480000,0.039065,0.058417
5,0.059626,13.040200,3.000000,0.514530,0.472911,0.079152,0.058417
5,0.051142,13.978258,3.000000,0.459171,0.439221,0.091879,0.058417
5,0.056000,11.580791,2.000000,0.480000,0.480000,0.039065,0.058417
5,0.050042,11.862315,2.000000,0.477316,0.437515,0.103897,0.058417
5,0.056000,9.580791,1.000000,0.480000,0.480000,0.039065,0.058417
6,0.056000,22.871052,7.000000,0.480000,0.480000,0.000000,0.043951
6,0.056000,20.871056,6.000000,0.480000,0.480000,0.000000,0.043951
6,0.053225,20.745632,6.000000,0.518980,0.523880,0.072788,0.043951
6,0.056000,18.871054,5.000000,0.480000,0.480000,0.000000,0.043951
6,0.050042,19.002396,5.000000,0.477316,0.437515,0.079861,0.043951
6,0.060852,14.528371,3.000000,0.525726,0.450466,0.076207,0.043951
6,0.056580,15.004350,3.000000,0.448459,0.497846,0.039065,0.043951
6,0.051788,14.958721,3.000000,0.479365,0.431701,0.073617,0.043951
6,0.051142,15.056520,3.000000,0.459171,0.439221,0.073432,0.043951
6,0.059626,12.618760,2.000000,0.514530,0.472911,0.050849,0.043951
6,0.050142,12.836455,2.000000,0.514978,0.483861,0.068399,0.043951
6,0.056000,10.871036,1.000000,0.480000,0.480000,0.000000,0.043951
6,0.056000,10.871036,1.000000,0.480000,0.480000,0.000000,0.043951
6,0.050507,11.071641,1.000000,0.458328,0.535119,0.090739,0.043951
6,0.056000,10.871036,1.000000,0.480000,0.480000,0.000000,0.043951
6,0.055734,10.882585,1.000000,0.478677,0.518714,0.048483,0.043951
6,0.060733,8.910489,0.000000,0.452792,0.440369,0.073722,0.043951
6,0.056000,8.871036,0.000000,0.480000,0.480000,0.000000,0.043951
7,0.056000,21.032335,6.000000,0.480000,0.480000,0.000000,0.044896
7,0.060852,20.738626,6.000000,0.525726,0.450466,0.076207,0.044896
7,0.050142,19.002661,5.000000,0.514978,0.483861,0.068399,0.044896
7,0.050507,19.204245,5.000000,0.458328,0.535119,0.090739,0.044896
7,0.056000,17.032324,4.000000,0.480000,0.480000,0.000000,0.044896
7,0.051142,17.191303,4.000000,0.459171,0.439221,0.073432,0.044896
7,0.050042,15.144926,3.000000,0.477316,0.437515,0.079861,0.044896
7,0.056580,15.146585,3.000000,0.448459,0.497846,0.039065,0.044896
7,0.051788,15.107475,3.000000,0.479365,0.431701,0.073617,0.044896
7,0.053225,12.924828,2.000000,0.518980,0.523880,0.072788,0.044896
7,0.056000,13.032316,2.000000,0.480000,0.480000,0.000000,0.044896
7,0.059626,12.816080,2.000000,0.514530,0.472911,0.050849,0.044896
7,0.056000,13.032316,2.000000,0.480000,0.480000,0.000000,0.044896
7,0.056000,13.032316,2.000000,0.480000,0.480000,0.000000,0.044896
7,0.055734,11.042215,1.000000,0.478677,0.518714,0.048483,0.044896
7,0.056000,9.032316,0.000000,0.480000,0.480000,0.000000,0.044896
8,0.056000,23.290377,7.000000,0.480000,0.480000,0.000000,0.048103
8,0.056000,23.290380,7.000000,0.480000,0.480000,0.000000,0.048103
8,0.060852,19.074982,5.000000,0.525726,0.450466,0.076207,0.048103
8,0.050142,17.268620,4.000000,0.514978,0.483861,0.068399,0.048103
8,0.050507,17.416452,4.000000,0.458328,0.535119,0.090739,0.048103
8,0.050042,17.372936,4.000000,0.477316,0.437515,0.079861,0.048103
8,0.055734,17.297621,4.000000,0.478677,0.518714,0.048483,0.048103
8,0.051142,15.406956,3.000000,0.459171,0.439221,0.073432,0.048103
8,0.056580,15.374163,3.000000,0.448459,0.497846,0.039065,0.048103
8,0.051788,13.345482,2.000000,0.479365,0.431701,0.073617,0.048103
8,0.059626,13.131792,2.000000,0.514530,0.472911,0.050849,0.048103
8,0.056000,13.290365,2.000000,0.480000,0.480000,0.000000,0.048103
8,0.056000,11.290365,1.000000,0.480000,0.480000,0.000000,0.048103
8,0.053225,11.211540,1.000000,0.518980,0.523880,0.072788,0.048103
8,0.056000,11.290365,1.000000,0.480000,0.480000,0.000000,0.048103
9,0.061350,22.714212,7.000000,0.528621,0.467151,0.000000,0.099026
9,0.059626,22.816092,7.000000,0.514530,0.472911,0.023401,0.099026
9,0.053225,20.924828,6.000000,0.518980,0.523880,0.108274,0.099026
9,0.051788,19.107475,5.000000,0.479365,0.431701,0.116331,0.099026
9,0.056000,13.032316,2.000000,0.480000,0.480000,0.074055,0.099026
9,0.050676,13.185038,2.000000,0.463065,0.504035,0.133482,0.099026
9,0.056000,13.032316,2.000000,0.480000,0.480000,0.074055,0.099026
9,0.056000,13.032316,2.000000,0.480000,0.480000,0.074055,0.099026
9,0.051142,13.191303,2.000000,0.459171,0.439221,0.128307,0.099026
9,0.050042,13.144926,2.000000,0.477316,0.437515,0.129586,0.099026
9,0.050142,13.002676,2.000000,0.514978,0.483861,0.114823,0.099026
9,0.060852,12.738604,2.000000,0.525726,0.450466,0.021638,0.099026
9,0.056000,13.032316,2.000000,0.480000,0.480000,0.074055,0.099026
9,0.056580,11.146585,1.000000,0.448459,0.497846,0.100865,0.099026
9,0.055734,11.042215,1.000000,0.478677,0.518714,0.099007,0.099026
9,0.050507,11.204264,1.000000,0.458328,0.535119,0.154647,0.099026
9,0.056000,11.032316,1.000000,0.480000,0.480000,0.074055,0.099026
9,0.058911,11.152679,1.000000,0.437918,0.468237,0.093935,0.099026
9,0.051589,10.911409,1.000000,0.530425,0.524264,0.120948,0.099026
9,0.055676,11.252958,1.000000,0.422965,0.534372,0.146435,0.099026
9,0.049493,8.835993,0.000000,0.559988,0.436436,0.128522,0.099026
9,0.054876,8.921795,0.000000,0.511831,0.420091,0.089070,0.099026
10,0.059626,25.052877,8.000000,0.514530,0.472911,0.000000,0.080276
10,0.061350,22.971369,7.000000,0.528621,0.467151,0.023401,0.080276
10,0.055734,19.233761,5.000000,0.478677,0.518714,0.077961,0.080276
10,0.056000,19.225870,5.000000,0.480000,0.480000,0.050849,0.080276
10,0.060852,16.990887,4.000000,0.525726,0.450466,0.032599,0.080276
10,0.050142,15.202141,3.000000,0.514978,0.483861,0.095824,0.080276
10,0.051142,15.353043,3.000000,0.459171,0.439221,0.109709,0.080276
10,0.056000,15.225853,3.000000,0.480000,0.480000,0.050849,0.080276
10,0.051788,15.285980,3.000000,0.479365,0.431701,0.100168,0.080276
10,0.050042,13.315941,2.000000,0.477316,0.437515,0.111932,0.080276
10,0.056000,11.225853,1.000000,0.480000,0.480000,0.050849,0.080276
10,0.050676,11.348030,1.000000,0.463065,0.504035,0.110332,0.080276
10,0.056580,11.317268,1.000000,0.448459,0.497846,0.079152,0.080276
10,0.053225,11.139862,1.000000,0.518980,0.523880,0.090424,0.080276
10,0.056000,11.225853,1.000000,0.480000,0.480000,0.050849,0.080276
10,0.058911,11.322144,1.000000,0.437918,0.468237,0.077166,0.080276
10,0.055676,11.402367,1.000000,0.422965,0.534372,0.125884,0.080276
10,0.056000,9.225853,0.000000,0.480000,0.480000,0.050849,0.080276
10,0.050507,9.363411,0.000000,0.458328,0.535119,0.132364,0.080276
10,0.051589,9.129128,0.000000,0.530425,0.524264,0.104083,0.080276
11,0.053225,26.208046,9.000000,0.518980,0.523880,0.000000,0.090877
11,0.051142,22.652172,7.000000,0.459171,0.439221,0.123327,0.090877
11,0.061350,19.857010,6.000000,0.528621,0.467151,0.108274,0.090877
11,0.055734,18.403667,5.000000,0.478677,0.518714,0.047914,0.090877
11,0.050142,16.337757,4.000000,0.514978,0.483861,0.058896,0.090877
11,0.056000,14.387194,3.000000,0.480000,0.480000,0.072788,0.090877
11,0.060852,13.897673,3.000000,0.525726,0.450466,0.119514,0.090877
11,0.050676,14.641729,3.000000,0.463065,0.504035,0.066269,0.090877
11,0.056000,12.387194,2.000000,0.480000,0.480000,0.072788,0.090877
11,0.059626,12.026800,2.000000,0.514530,0.472911,0.090424,0.090877
11,0.050042,12.574877,2.000000,0.477316,0.437515,0.120015,0.090877
11,0.056000,12.387194,2.000000,0.480000,0.480000,0.072788,0.090877
11,0.051788,10.512459,1.000000,0.479365,0.431701,0.122687,0.090877
11,0.056000,10.387194,1.000000,0.480000,0.480000,0.072788,0.090877
11,0.056580,8.577642,0.000000,0.448459,0.497846,0.084602,0.090877
11,0.058911,8.587799,0.000000,0.437918,0.468237,0.121003,0.090877
11,0.055676,8.754930,0.000000,0.422965,0.534372,0.099958,0.090877
12,0.056000,21.129101,6.000000,0.480000,0.480000,0.000000,0.052394
12,0.055734,19.137974,5.000000,0.478677,0.518714,0.048483,0.052394
12,0.050142,19.102394,5.000000,0.514978,0.483861,0.068399,0.052394
12,0.056000,19.129105,5.000000,0.480000,0.480000,0.000000,0.052394
12,0.056000,19.129089,5.000000,0.480000,0.480000,0.000000,0.052394
12,0.060852,16.864761,4.000000,0.525726,0.450466,0.076207,0.052394
12,0.050676,17.266516,4.000000,0.463065,0.504035,0.063437,0.052394
12,0.051788,17.196728,4.000000,0.479365,0.431701,0.073617,0.052394
12,0.061350,14.842805,3.000000,0.528621,0.467151,0.074055,0.052394
12,0.050042,15.230433,3.000000,0.477316,0.437515,0.079861,0.052394
12,0.053225,13.032345,2.000000,0.518980,0.523880,0.072788,0.052394
12,0.059626,12.934472,2.000000,0.514530,0.472911,0.050849,0.052394
12,0.051142,11.272173,1.000000,0.459171,0.439221,0.073432,0.052394
12,0.056000,11.129085,1.000000,0.480000,0.480000,0.000000,0.052394
13,0.060852,19.074982,5.000000,0.525726,0.450466,0.000000,0.095592
13,0.061350,19.057093,5.000000,0.528621,0.467151,0.021638,0.095592
13,0.056372,17.223301,4.000000,0.500512,0.468208,0.055988,0.095592
13,0.051594,17.274082,4.000000,0.505785,0.435985,0.096414,0.095592
13,0.056000,17.290380,4.000000,0.480000,0.480000,0.076207,0.095592
13,0.055734,15.297625,3.000000,0.478677,0.518714,0.110046,0.095592
13,0.056000,15.290365,3.000000,0.480000,0.480000,0.076207,0.095592
13,0.056000,15.290365,3.000000,0.480000,0.480000,0.076207,0.095592
13,0.056000,15.290365,3.000000,0.480000,0.480000,0.076207,0.095592
13,0.058007,13.204512,2.000000,0.499336,0.421777,0.052833,0.095592
13,0.051142,13.406956,2.000000,0.459171,0.439221,0.118553,0.095592
13,0.059626,13.131792,2.000000,0.514530,0.472911,0.032599,0.095592
