geração,radius,energia,pontos,velocidade,percepcao,distance,meanDistance
1,0.049882,20.384644,77.000000,0.873463,0.499042,0.000000,0.525928
1,0.086769,24.491270,66.000000,0.652428,0.418955,0.441525,0.525928
1,0.045483,19.652840,66.000000,0.737024,0.448739,0.156536,0.525928
1,0.082735,20.423346,54.000000,0.447880,0.640304,0.565896,0.525928
1,0.099627,13.406141,52.000000,0.250492,0.626136,0.812894,0.525928
1,0.096182,20.268898,47.000000,0.435267,0.560774,0.642138,0.525928
1,0.074863,20.297258,44.000000,0.489302,0.518733,0.458902,0.525928
1,0.067595,12.664171,33.000000,0.456094,0.547971,0.457507,0.525928
1,0.055984,11.045702,31.000000,0.423590,0.633993,0.484319,0.525928
1,0.044737,19.727663,30.000000,0.253138,0.778272,0.713636,0.525928
2,0.049882,15.908950,67.000000,0.873463,0.499042,0.000000,0.369523
2,0.047712,22.672541,67.000000,0.805447,0.473641,0.078134,0.369523
2,0.047677,20.674181,65.000000,0.805539,0.474068,0.077935,0.369523
2,0.056557,19.839851,57.000000,0.596069,0.498468,0.285314,0.369523
2,0.047642,14.678461,55.000000,0.805320,0.473448,0.078539,0.369523
2,0.089487,22.127739,54.000000,0.441165,0.601051,0.599998,0.369523
2,0.091230,20.800018,46.000000,0.349798,0.633573,0.688094,0.369523
2,0.074808,9.459514,32.000000,0.562058,0.563153,0.406850,0.369523
2,0.069351,10.580959,31.000000,0.436284,0.637722,0.509000,0.369523
2,0.063785,19.160320,26.000000,0.349942,0.708896,0.601843,0.369523
3,0.048721,13.280781,69.000000,0.839319,0.485716,0.000000,0.130316
3,0.048830,11.270185,66.000000,0.839317,0.486794,0.001738,0.130316
3,0.049882,20.767263,65.000000,0.873463,0.499042,0.039724,0.130316
3,0.048813,17.265686,62.000000,0.839862,0.485777,0.001074,0.130316
3,0.047788,9.735016,48.000000,0.805647,0.474409,0.037689,0.130316
3,0.058590,20.895041,46.000000,0.620824,0.555446,0.255102,0.130316
3,0.062378,19.584171,44.000000,0.717526,0.530871,0.191499,0.130316
3,0.068589,12.333809,38.000000,0.623489,0.537016,0.300281,0.130316
3,0.069537,14.804690,37.000000,0.578095,0.553332,0.344546,0.130316
3,0.048832,17.269661,25.000000,0.839348,0.485372,0.001195,0.130316
4,0.048721,14.996861,70.000000,0.839319,0.485716,0.000000,0.038398
4,0.055635,15.033310,60.000000,0.780654,0.507765,0.094771,0.038398
4,0.048735,16.977695,58.000000,0.841870,0.483985,0.003348,0.038398
4,0.048399,21.143808,56.000000,0.821242,0.482273,0.018859,0.038398
4,0.048763,16.996794,53.000000,0.838961,0.483971,0.002252,0.038398
4,0.055116,19.199478,52.000000,0.762034,0.503495,0.102749,0.038398
4,0.056191,18.905069,44.000000,0.793396,0.515388,0.095209,0.038398
4,0.049642,12.800961,40.000000,0.858183,0.491688,0.022282,0.038398
4,0.048650,13.012415,37.000000,0.837750,0.487753,0.003073,0.038398
4,0.048812,20.979570,30.000000,0.840946,0.487633,0.003037,0.038398
5,0.051602,21.279562,69.000000,0.799391,0.491755,0.000000,0.033997
5,0.048721,27.168468,64.000000,0.839319,0.485716,0.049814,0.033997
5,0.048356,19.190443,62.000000,0.839198,0.492484,0.051370,0.033997
5,0.051541,15.295864,51.000000,0.797466,0.490662,0.002438,0.033997
5,0.048351,11.247556,51.000000,0.830667,0.482267,0.046641,0.033997
5,0.052063,21.139641,49.000000,0.816052,0.507246,0.025959,0.033997
5,0.052793,11.133095,44.000000,0.811319,0.496873,0.018030,0.033997
5,0.047891,19.319788,44.000000,0.823624,0.483887,0.045400,0.033997
5,0.049246,17.084267,43.000000,0.847151,0.487144,0.053566,0.033997
5,0.051470,9.257532,23.000000,0.803647,0.501320,0.012759,0.033997
6,0.048889,25.363491,71.000000,0.834182,0.489787,0.000000,0.028491
6,0.048445,23.377077,62.000000,0.835827,0.490479,0.004806,0.028491
6,0.051602,13.444437,57.000000,0.799391,0.491755,0.044189,0.028491
6,0.051659,17.414932,55.000000,0.803545,0.503903,0.044918,0.028491
6,0.050666,19.390631,48.000000,0.815190,0.490305,0.026021,0.028491
6,0.050483,13.431577,47.000000,0.810234,0.489536,0.028771,0.028491
6,0.052494,27.372591,45.000000,0.803639,0.491153,0.047281,0.028491
6,0.049265,15.437963,43.000000,0.819171,0.483811,0.017184,0.028491
6,0.050559,9.412863,38.000000,0.812564,0.497214,0.028856,0.028491
6,0.049128,9.411059,34.000000,0.824606,0.498169,0.014394,0.028491
7,0.049877,19.156433,74.000000,0.844187,0.485133,0.000000,0.028127
7,0.048889,19.278442,68.000000,0.834182,0.489787,0.015218,0.028127
7,0.049982,17.321533,59.000000,0.818453,0.490561,0.026634,0.028127
7,0.051955,17.303171,54.000000,0.805501,0.504913,0.050398,0.028127
7,0.050039,15.339111,53.000000,0.815298,0.488868,0.029309,0.028127
7,0.047875,11.357788,46.000000,0.830584,0.487758,0.024424,0.028127
7,0.048994,17.284069,43.000000,0.832418,0.484887,0.014713,0.028127
7,0.050818,29.260254,39.000000,0.820920,0.480034,0.025896,0.028127
7,0.050102,9.323547,36.000000,0.817158,0.494649,0.029617,0.028127
7,0.050167,17.359619,28.000000,0.811112,0.498078,0.036935,0.028127
8,0.049877,21.334156,76.000000,0.844187,0.485133,0.000000,0.024487
8,0.048968,23.377758,70.000000,0.844987,0.491034,0.011732,0.024487
8,0.050192,25.386158,60.000000,0.833287,0.499499,0.021241,0.024487
8,0.049537,25.475540,54.000000,0.824308,0.496335,0.024552,0.024487
8,0.051683,15.334463,49.000000,0.829253,0.473674,0.027469,0.024487
8,0.048903,11.487421,45.000000,0.827678,0.504231,0.030614,0.024487
8,0.050282,13.460871,41.000000,0.820549,0.494023,0.026432,0.024487
8,0.048956,17.585583,37.000000,0.810908,0.492292,0.035670,0.024487
8,0.050924,9.487192,37.000000,0.811125,0.489082,0.035031,0.024487
8,0.050002,11.370005,31.000000,0.837443,0.487830,0.007642,0.024487
9,0.050682,21.923134,69.000000,0.826417,0.502712,0.000000,0.028229
9,0.049877,15.867325,65.000000,0.844187,0.485133,0.029385,0.028229
9,0.047936,26.076981,63.000000,0.817680,0.488858,0.033618,0.028229
9,0.049186,19.998291,62.000000,0.823582,0.499497,0.015754,0.028229
9,0.050243,17.835190,53.000000,0.847412,0.476444,0.039219,0.028229
9,0.051259,21.943176,48.000000,0.817785,0.487997,0.021120,0.028229
