geração,radius,energia,pontos,velocidade,percepcao,distance,meanDistance
1,0.076361,20.605955,75.000000,0.757307,0.559024,0.000000,0.385916
1,0.055868,17.726490,68.000000,0.724625,0.644960,0.233667,0.385916
1,0.042281,16.396099,66.000000,0.699630,0.603820,0.350152,0.385916
1,0.062362,27.828049,64.000000,0.670372,0.741824,0.281721,0.385916
1,0.077089,25.164881,62.000000,0.688872,0.764092,0.265413,0.385916
1,0.048403,21.452831,38.000000,0.381919,0.653125,0.482615,0.385916
1,0.054668,12.486831,36.000000,0.597622,0.777003,0.383144,0.385916
1,0.073225,11.619513,35.000000,0.258930,0.778678,0.569869,0.385916
1,0.053883,13.639853,29.000000,0.293676,0.553328,0.515296,0.385916
1,0.096941,16.398457,27.000000,0.461708,0.436558,0.391367,0.385916
2,0.076361,31.700809,75.000000,0.757307,0.559024,0.000000,0.237941
2,0.066510,26.257847,67.000000,0.706347,0.704276,0.212757,0.237941
2,0.062448,16.525789,57.000000,0.670569,0.741046,0.280445,0.237941
2,0.086648,16.314434,56.000000,0.608716,0.497605,0.196358,0.237941
2,0.066516,12.252450,56.000000,0.707407,0.704811,0.213049,0.237941
2,0.065501,16.418736,48.000000,0.678107,0.667748,0.191144,0.237941
2,0.059591,16.488911,43.000000,0.694980,0.683538,0.237128,0.237941
2,0.055859,16.463436,36.000000,0.723849,0.644393,0.233530,0.237941
2,0.052140,21.161983,35.000000,0.553301,0.648827,0.335979,0.237941
2,0.062342,10.935376,27.000000,0.570332,0.606396,0.241078,0.237941
3,0.076361,17.153393,69.000000,0.757307,0.559024,0.000000,0.208857
3,0.074675,28.015415,68.000000,0.639429,0.619580,0.141100,0.208857
3,0.064422,14.016977,56.000000,0.688158,0.723851,0.247958,0.208857
3,0.059710,22.128290,50.000000,0.694441,0.684326,0.237080,0.208857
3,0.073083,17.976828,49.000000,0.652609,0.591032,0.116777,0.208857
3,0.064610,20.012928,48.000000,0.687863,0.723518,0.246798,0.208857
3,0.062318,18.177032,46.000000,0.670848,0.740726,0.280679,0.208857
3,0.064426,18.009706,46.000000,0.689402,0.722740,0.246443,0.208857
3,0.071492,13.517273,37.000000,0.730938,0.631257,0.105917,0.208857
3,0.059422,10.459974,31.000000,0.631442,0.676311,0.256961,0.208857
4,0.076361,21.262867,74.000000,0.757307,0.559024,0.000000,0.126900
4,0.070349,15.695095,65.000000,0.724031,0.640582,0.122941,0.126900
4,0.070365,25.709990,61.000000,0.721608,0.640650,0.123612,0.126900
4,0.066400,14.123121,54.000000,0.672504,0.638699,0.164415,0.126900
4,0.070470,15.698736,50.000000,0.722841,0.642241,0.124413,0.126900
4,0.068921,16.060860,46.000000,0.670948,0.658038,0.168260,0.126900
4,0.075457,17.702312,44.000000,0.698000,0.589986,0.071391,0.126900
4,0.075370,21.711029,44.000000,0.697079,0.590085,0.072340,0.126900
4,0.068877,12.060870,32.000000,0.671158,0.657223,0.167597,0.126900
4,0.073823,18.069382,30.000000,0.646859,0.605109,0.127126,0.126900
5,0.076361,19.620583,71.000000,0.757307,0.559024,0.000000,0.109342
5,0.068322,18.668320,70.000000,0.698316,0.641788,0.143683,0.109342
5,0.075087,10.346359,56.000000,0.697560,0.589051,0.071699,0.109342
5,0.070639,18.283035,53.000000,0.725391,0.640343,0.120935,0.109342
5,0.070188,16.336761,49.000000,0.722439,0.642923,0.126588,0.109342
5,0.072892,18.272278,47.000000,0.715123,0.611069,0.084940,0.109342
5,0.072926,14.300583,45.000000,0.712238,0.618604,0.093581,0.109342
5,0.068296,18.660543,41.000000,0.699264,0.637816,0.139907,0.109342
5,0.072632,14.300246,36.000000,0.713709,0.608701,0.084539,0.109342
5,0.072113,14.631775,32.000000,0.683430,0.624558,0.118206,0.109342
6,0.076361,13.153399,71.000000,0.757307,0.559024,0.000000,0.096311
6,0.070379,23.716579,64.000000,0.706503,0.627509,0.116135,0.096311
6,0.073558,23.364342,58.000000,0.742457,0.602163,0.062560,0.096311
6,0.072374,17.503784,56.000000,0.728439,0.598657,0.069837,0.096311
6,0.069219,27.713316,53.000000,0.712905,0.639260,0.130883,0.096311
6,0.070960,13.686825,50.000000,0.708176,0.627717,0.112709,0.096311
6,0.071530,11.570707,44.000000,0.722835,0.625944,0.102564,0.096311
6,0.074314,17.362598,44.000000,0.738917,0.585004,0.042562,0.096311
6,0.071893,19.587246,37.000000,0.718551,0.626615,0.103135,0.096311
6,0.070482,7.612039,23.000000,0.721971,0.643974,0.126415,0.096311
7,0.076361,19.591326,64.000000,0.757307,0.559024,0.000000,0.068520
7,0.073977,19.735443,61.000000,0.746042,0.577808,0.035307,0.068520
7,0.071061,10.033298,58.000000,0.709372,0.626811,0.110845,0.068520
7,0.071925,17.917862,56.000000,0.725493,0.614571,0.088322,0.068520
7,0.074318,15.766097,56.000000,0.739271,0.596030,0.053687,0.068520
7,0.072348,25.905682,50.000000,0.725480,0.617490,0.089240,0.068520
7,0.074641,23.696346,48.000000,0.749097,0.579685,0.032093,0.068520
7,0.072005,15.906270,42.000000,0.727105,0.614674,0.087452,0.068520
7,0.076444,13.578224,35.000000,0.758955,0.559946,0.002175,0.068520
7,0.070372,16.044010,30.000000,0.710891,0.630928,0.117556,0.068520
8,0.075461,15.329503,68.000000,0.752479,0.573888,0.000000,0.035255
8,0.071796,17.650921,58.000000,0.723532,0.610296,0.065211,0.035255
8,0.075387,21.329227,56.000000,0.752889,0.574605,0.001234,0.035255
8,0.073821,27.499323,56.000000,0.736208,0.594091,0.034230,0.035255
8,0.074851,19.397804,55.000000,0.745812,0.585672,0.017280,0.035255
8,0.076361,15.262877,49.000000,0.757307,0.559024,0.021199,0.035255
8,0.072285,17.594753,46.000000,0.729649,0.606142,0.056173,0.035255
8,0.075363,15.365499,45.000000,0.747877,0.567596,0.009165,0.035255
8,0.071887,15.652388,34.000000,0.722852,0.618812,0.072863,0.035255
8,0.072887,9.550130,33.000000,0.733344,0.592932,0.039945,0.035255
9,0.075461,23.970430,70.000000,0.752479,0.573888,0.000000,0.021390
9,0.074408,20.016932,65.000000,0.749053,0.564944,0.015740,0.021390
9,0.076718,19.941620,56.000000,0.751567,0.559657,0.021800,0.021390
9,0.074509,20.094810,55.000000,0.733701,0.577380,0.021504,0.021390
9,0.072981,16.177639,51.000000,0.725045,0.598334,0.047974,0.021390
9,0.075800,17.942955,47.000000,0.755857,0.572279,0.005191,0.021390
9,0.073558,10.102348,47.000000,0.736967,0.592537,0.033859,0.021390
9,0.075009,20.034544,42.000000,0.742724,0.571790,0.011067,0.021390
